#miRNA,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 RI,paciente 162,paciente 173,paciente 187,paciente 210,paciente 297,paciente 414,paciente 457,paciente 258,paciente 260
hsa-miR-1911-5p85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1912-3p87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1912-5p33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-191388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1914-3p90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1914-5p89,0.0,0.0,0.0,0.0,1.3845455735250263,0.0,0.0,0.0,0.0,0.1478984852355835,0.0,0.0,0.42063333262233404,0.23925405596895064,0.0,0.0,0.0,0.0
hsa-miR-1915-3p92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1915-5p91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-3p43,0.0,0.5192064456975141,0.278140598796559,0.0,0.0,0.5694712925392649,0.46992104331016027,0.28701062447622655,0.32295515556738064,0.8120304821414869,0.0,0.0,0.0,0.6240040701051197,0.0,0.0,0.0,0.0
hsa-miR-192-5p22,9.477031611271512,9.70049234144528,10.082621299520365,9.408534845321185,8.364673096838608,8.93859865524503,10.184868136051907,9.954418890501918,8.904474209954818,11.102422835703958,9.085331219055547,10.878640863035148,8.388509564604508,10.031349927639873,8.585647435421674,9.467117286259828,10.515956768932949,11.035517496888279
hsa-miR-193a-3p59,4.72523446659522,3.616161779488991,5.076609228711104,8.301867497505677,2.0778562209655886,5.799338580150077,3.4354097010592373,2.2454535021305784,4.825125758168751,5.365027864825711,6.731739022890853,6.764733380749008,4.703217658478448,4.6433269715653545,2.75693643808107,9.327467109004182,6.3159634509777,6.047814980740851
hsa-miR-193a-5p14,6.638385168081941,4.387201843479629,4.136291257495734,7.189153029527912,6.377744114995612,9.415076907176436,5.64094696272273,5.251281673700982,5.233810187209976,7.4039055978088495,3.7691065364588376,4.200476949890669,4.721844373909955,5.974324882904081,6.934165668704355,7.7893539999220005,5.020945417208863,6.52699767305371
