sample,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 ,paciente 162,paciente 173,paciente 187,paciente 210,paciente 258,paciente 260,paciente 297,paciente 414,paciente 457
hsa-miR-126214,2,1,2,1,2,4,3,5,4,11,1,1,1,0,0,3,1,1
hsa-miR-126315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-126491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-126518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1266-3p42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1266-5p20,10,7,9,0,4,14,19,15,19,9,0,3,10,0,0,18,6,3
hsa-miR-126721,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1268a22,4,0,1,0,1,3,0,1,0,1,0,1,0,4,0,0,0,3
hsa-miR-1268b25,4,0,1,0,1,3,0,1,0,1,0,0,0,4,0,0,0,3
hsa-miR-1269a23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1269b59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-3p46,4338,3620,2782,508,584,11798,5825,5416,4247,11613,1094,5069,3253,515,5105,3362,3531,19344
hsa-miR-127-5p04,119,99,57,25,1,49,106,68,219,80,52,96,121,21,9,125,13,317
hsa-miR-127024,7,16,5,0,4,13,44,26,6,34,0,10,1,0,0,9,13,4
hsa-miR-1271-3p12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hsa-miR-1271-5p96,28,25,27,0,9,243,52,59,35,294,0,6,15,0,0,17,68,1
hsa-miR-127225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273c17,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,1,0,1
hsa-miR-1273h-3p16,0,0,0,0,0,1,9,1,0,38,0,0,0,0,0,2,0,1
hsa-miR-1273h-5p15,2,0,2,0,1,1,1,0,1,3,0,0,0,0,0,0,0,4
hsa-miR-127529,1,2,0,0,1,0,0,0,0,1,0,0,0,4,5,0,0,4
hsa-miR-127630,3,1,0,0,2,9,1,0,1,11,0,2,0,0,0,2,0,0
hsa-miR-1277-3p33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1277-5p24,0,5,0,2,0,11,4,1,1,73,0,7,0,0,1,0,0,1
hsa-miR-127836,0,2,1,0,0,1,0,1,0,12,0,0,1,0,0,1,0,0
hsa-miR-127937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128-1-5p77,22,6,6,0,9,11,32,22,14,20,0,5,8,0,0,21,27,4
hsa-miR-128-2-5p95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128-3p24,446,256,239,55,66,1279,537,526,1114,2634,6,51,149,1,0,410,130,15
hsa-miR-128139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128399,2,0,1,0,0,0,0,3,0,3,0,3,0,0,0,5,0,0
hsa-miR-128441,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,0
hsa-miR-1285-3p76,19,7,26,5,5,118,62,16,12,505,6,110,2,2,2,19,3,109
hsa-miR-1285-5p19,3,2,2,1,0,5,1,2,2,12,0,0,0,0,0,6,0,1
hsa-miR-128677,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
hsa-miR-1287-3p38,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
hsa-miR-1287-5p78,35,18,31,15,3,131,76,56,30,232,1,21,15,3,0,28,39,34
hsa-miR-1288-3p42,0,1,1,0,0,0,2,2,0,1,0,0,2,0,0,2,0,1
hsa-miR-1288-5p43,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-129-1-3p48,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
hsa-miR-129-2-3p05,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0
hsa-miR-129-5p42,2,7,3,0,0,3,16,8,9,1,1,2,11,1,0,19,2,12
hsa-miR-129080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-129181,17,6,6,4,0,77,2,0,6,59,0,1,0,2,0,6,1,6
hsa-miR-1292-3p48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1292-5p43,0,0,0,0,0,1,1,1,0,9,0,0,0,0,0,0,1,2
hsa-miR-129383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-129484,3,5,20,0,1,7,24,21,5,37,0,1,3,0,0,2,6,0
hsa-miR-1295a85,1,0,2,0,0,7,1,2,1,8,0,2,1,0,0,0,4,0
hsa-miR-1295b-3p94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-1295b-5p93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1296-3p37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-1296-5p94,10,15,19,8,1,145,22,10,20,136,8,28,8,0,0,18,6,29
hsa-miR-129786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1298-3p41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-1298-5p00,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-129987,1,0,0,0,0,0,1,0,0,0,4,4,0,3,1,1,0,3
hsa-miR-1301-3p97,10,12,5,2,2,54,19,7,6,102,3,5,3,0,0,4,7,12
hsa-miR-1301-5p39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-130290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-130391,9,0,5,1,3,31,8,3,2,42,0,3,1,0,0,4,5,14
hsa-miR-1304-3p20,51,39,58,8,10,57,242,104,58,111,1,6,43,0,1,93,93,3
hsa-miR-1304-5p92,0,0,0,0,0,3,1,0,1,6,0,1,0,0,0,0,0,0
hsa-miR-130593,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hsa-miR-1306-3p50,0,2,0,0,0,4,1,1,1,21,2,3,2,0,1,2,0,4
hsa-miR-1306-5p26,6,1,1,4,2,49,17,6,6,75,0,1,1,1,0,6,2,4
hsa-miR-1307-3p51,487,175,247,62,82,559,1076,334,298,601,23,180,100,7,6,443,227,325
hsa-miR-1307-5p27,83,97,69,339,8,272,85,66,69,822,150,1882,38,170,348,123,6,6743
hsa-miR-130a-3p25,1206,1535,1766,366,250,6021,2987,2555,1193,15141,962,3869,1073,46,67,1588,1183,369
hsa-miR-130a-5p93,0,5,1,2,2,3,2,2,5,18,1,8,2,0,0,2,1,0
hsa-miR-130b-3p91,138,89,156,21,19,542,461,225,75,1682,27,222,44,3,1,137,66,16
hsa-miR-130b-5p80,10,3,6,2,4,84,20,5,9,138,1,8,7,0,0,7,10,4
hsa-miR-132-3p26,149,105,236,49,42,1023,410,228,162,2044,24,109,108,2,0,175,272,27
hsa-miR-132-5p94,6,0,4,2,2,46,6,2,4,107,0,10,9,0,1,5,3,7
hsa-miR-132152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-132253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-132395,0,1,0,0,1,3,0,0,0,16,0,0,0,0,0,0,1,0
hsa-miR-132456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-133a-3p27,76,239,176,15,1,898,66,183,38,737,4,99,112,0,0,70,55,44
hsa-miR-133a-5p78,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
hsa-miR-133b70,34,139,88,4,0,94,19,81,14,99,2,61,54,0,0,36,26,22
hsa-miR-134-3p81,2,1,1,1,0,10,2,2,2,10,0,2,0,0,0,2,2,3
hsa-miR-134-5p47,77,61,50,31,15,221,100,98,73,454,31,134,64,17,24,76,60,188
hsa-miR-1343-3p76,5,1,0,1,0,6,5,2,5,8,0,2,3,0,0,5,1,1
